ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
236,Lowest Common Ancestor of a Binary Tree,45.7%,Medium,0.0612283844483875, https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,Not Done
437,Path Sum III,47.2%,Medium,0.04550116684579, https://leetcode.com/problems/path-sum-iii,Not Done
443,String Compression,41.3%,Easy,0.0297739492431925, https://leetcode.com/problems/string-compression,Not Done
981,Time Based Key-Value Store,53.1%,Medium,0.0213227694688212, https://leetcode.com/problems/time-based-key-value-store,Not Done
146,LRU Cache,33.2%,Medium,0.0173690862406136, https://leetcode.com/problems/lru-cache,Not Done
127,Word Ladder,29.6%,Medium,0.0128499769290255, https://leetcode.com/problems/word-ladder,Not Done
273,Integer to English Words,27.1%,Hard,0.0115341532452865, https://leetcode.com/problems/integer-to-english-words,Not Done
387,First Unique Character in a String,53.4%,Easy,0.0089597413714719, https://leetcode.com/problems/first-unique-character-in-a-string,Not Done
20,Valid Parentheses,39.0%,Easy,0.0049380106923926, https://leetcode.com/problems/valid-parentheses,Not Done
139,Word Break,40.1%,Medium,0.0037551677623236, https://leetcode.com/problems/word-break,Not Done
283,Move Zeroes,57.8%,Easy,0.0027586224390797, https://leetcode.com/problems/move-zeroes,Not Done
53,Maximum Subarray,46.5%,Easy,0.0020745819379855, https://leetcode.com/problems/maximum-subarray,Not Done
121,Best Time to Buy and Sell Stock,50.5%,Easy,0.002038321129697, https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Not Done
3,Longest Substring Without Repeating Characters,30.4%,Medium,0.0014852223137141, https://leetcode.com/problems/longest-substring-without-repeating-characters,Not Done
